cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
"cambridge ,durham",polymer science
,"chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
"tucson ,newark","chemistry, multidisciplinary"
"pasadena ,graz",polymer science
edmonton,"chemistry, inorganic & nuclear ,chemistry, organic"
pasadena,"materials science, multidisciplinary ,physics, condensed matter ,polymer science"
,"chemistry, organic"
"edinburgh ,oxford","chemistry, multidisciplinary"
fargo,"chemistry, multidisciplinary"
,"chemistry, physical ,electrochemistry ,energy & fuels"
,"chemistry, inorganic & nuclear ,chemistry, organic"
stanford,"chemistry, multidisciplinary"
gainesville,polymer science
akron,"chemistry, physical"
"pittsburgh ,newark","chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
stanford,"chemistry, inorganic & nuclear ,chemistry, organic"
groningen,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,polymer science
,polymer science
,"chemistry, organic ,chemistry, physical ,energy & fuels ,engineering, chemical ,engineering, petroleum"
,"chemistry, inorganic & nuclear"
,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
dresden,"chemistry, multidisciplinary"
,"chemistry, physical"
bristol,"chemistry, inorganic & nuclear"
sendai,"materials science, multidisciplinary ,physics, condensed matter ,polymer science"
sakai,"chemistry, physical"
"durham ,newcastle tyne ,manchester","chemistry, multidisciplinary"
,"chemistry, organic ,chemistry, physical ,energy & fuels ,engineering, chemical ,engineering, petroleum"
cambridge,"chemistry, inorganic & nuclear"
pasadena,polymer science
,"chemistry, inorganic & nuclear"
"pasadena ,irvine ,wilmington","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, physical"
,"chemistry, multidisciplinary"
cambridge,"chemistry, physical ,materials science, multidisciplinary"
moscow,"chemistry, physical"
st louis,polymer science
graz,"chemistry, physical"
,"chemistry, physical"
marburg,"chemistry, physical"
,"chemistry, physical"
bucharest,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
liege,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
lawrence,"chemistry, physical"
,"chemistry, physical"
akron,"chemistry, physical"
,"chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, physical"
newark,"chemistry, physical"
new orleans,"chemistry, physical ,materials science, multidisciplinary"
durham,polymer science
durham,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
stuttgart,"chemistry, multidisciplinary"
cambridge,"chemistry, inorganic & nuclear ,chemistry, organic"
"bundoora ,adelaide","chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,"chemistry, physical ,materials science, multidisciplinary"
los angeles,"chemistry, multidisciplinary"
,"chemistry, inorganic & nuclear ,chemistry, organic"
talence,polymer science
"strasbourg ,belfast",polymer science
"chiayi ,hsinchu","chemistry, physical"
,"chemistry, inorganic & nuclear ,chemistry, physical"
gainesville,polymer science
vancouver,"chemistry, multidisciplinary"
pasadena,polymer science
