ID,CT,lat,lon,SUBJECTS,CNT
856,rochester,43.16103,-77.6109219,polymer science,2.386294361
864,pasadena,34.1477849,-118.1445155,"chemistry, organic",6.010635294
882,sapporo,43.0620958,141.3543763,"chemistry, organic",5.290459441
890,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
894,"sapporo ,osaka",43.0620958,141.3543763,"chemistry, multidisciplinary",5.290459441
894,"sapporo ,osaka",34.6937378,135.5021651,"chemistry, multidisciplinary",4.091042453
899,villeurbanne,45.771944,4.8901709,"biochemistry & molecular biology ,chemistry, multidisciplinary ,chemistry, organic",5.060443011
907,sapporo,43.0620958,141.3543763,"chemistry, inorganic & nuclear ,chemistry, organic",5.290459441
908,sapporo,43.0620958,141.3543763,"chemistry, inorganic & nuclear ,chemistry, organic",5.290459441
911,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
915,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
942,wroclaw,51.1078852,17.0385376,"chemistry, physical",3.197224577
958,"bern ,marly",46.9479222,7.4446085,polymer science,2.609437912
958,"bern ,marly",46.7789,7.15407,polymer science,1.693147181
961,sart,55.7951163,25.8317291,"chemistry, multidisciplinary",2.386294361
965,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
972,"pasadena ,irvine",34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
972,"pasadena ,irvine",33.6839473,-117.7946942,"chemistry, multidisciplinary",4.091042453
985,villeurbanne,45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
1009,pasadena,34.1477849,-118.1445155,polymer science,6.010635294
1027,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1029,"lausanne ,parma",46.5199617,6.6335971,"chemistry, multidisciplinary",4.36729583
1029,"lausanne ,parma",44.8078657,10.3295478,"chemistry, multidisciplinary",2.945910149
1030,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1041,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1043,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1054,la laguna,14.1406629,121.4691774,"chemistry, multidisciplinary",2.386294361
1064,"new orleans ,wilmington ,philadelphia",29.9510658,-90.0715323,"chemistry, inorganic & nuclear ,chemistry, organic",5.189654742
1064,"new orleans ,wilmington ,philadelphia",34.2257255,-77.9447102,"chemistry, inorganic & nuclear ,chemistry, organic",2.945910149
1064,"new orleans ,wilmington ,philadelphia",39.952335,-75.163789,"chemistry, inorganic & nuclear ,chemistry, organic",4.433987204
1084,new orleans,29.9510658,-90.0715323,"chemistry, inorganic & nuclear ,chemistry, organic",5.189654742
1087,"pasadena ,lexington ,irvine",34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1087,"pasadena ,lexington ,irvine",38.0405837,-84.5037164,"chemistry, multidisciplinary",2.386294361
1087,"pasadena ,lexington ,irvine",33.6839473,-117.7946942,"chemistry, multidisciplinary",4.091042453
1104,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1116,"sapporo ,osaka",43.0620958,141.3543763,"chemistry, multidisciplinary",5.290459441
1116,"sapporo ,osaka",34.6937378,135.5021651,"chemistry, multidisciplinary",4.091042453
1131,munich,48.1448353,11.5580067,"chemistry, inorganic & nuclear",4.258096538
1139,london,51.5081289,-0.128005,"chemistry, inorganic & nuclear",5.418840608
1146,ancona,43.6158439,13.5187386,"chemistry, inorganic & nuclear ,chemistry, organic ,chemistry, physical",2.098612289
1151,sapporo,43.0620958,141.3543763,"chemistry, organic",5.290459441
1158,new york,40.7143528,-74.0059731,"chemistry, organic",5.17438727
1159,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1160,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1163,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1164,hannover,52.3843792,9.7271906,"chemistry, organic",4.401197382
1170,college stn,31.4924713,73.1070548,"chemistry, organic",3.708050201
1176,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1180,orsay,48.697161,2.189617,"chemistry, multidisciplinary",3.944438979
1202,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1210,garching,48.2488721,11.6532477,"chemistry, multidisciplinary",4.970291914
1219,"malatya ,rennes",38.35519,38.30946,"chemistry, inorganic & nuclear ,chemistry, organic",4.583518938
1219,"malatya ,rennes",48.113475,-1.675708,"chemistry, inorganic & nuclear ,chemistry, organic",5.59511985
1225,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
1247,rennes,48.113475,-1.675708,"chemistry, organic",5.59511985
1251,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1263,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1264,erlangen,49.5907169,11.0142675,"chemistry, multidisciplinary",4.465735903
1266,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1273,villeurbanne,45.771944,4.8901709,"biochemistry & molecular biology ,chemistry, organic",5.060443011
1292,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1293,pasadena,34.1477849,-118.1445155,"chemistry, organic",6.010635294
1294,amsterdam,52.3702157,4.8951679,"chemistry, organic",4.912023005
1295,los angeles,34.0522342,-118.2436849,"chemistry, organic",4.295836866
1297,suita,34.7594526,135.51686,"chemistry, inorganic & nuclear ,chemistry, organic",3.944438979
1316,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1325,stevenage,51.903761,-0.196612,"chemistry, multidisciplinary",4.526360525
1327,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1329,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1334,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1336,"villeurbanne ,st johns ,st johns",45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
1336,"villeurbanne ,st johns ,st johns",43.0008333,-84.5566667,"chemistry, multidisciplinary",2.386294361
1336,"villeurbanne ,st johns ,st johns",43.0008333,-84.5566667,"chemistry, multidisciplinary",2.386294361
1338,oviedo,43.3602994,-5.844781,"chemistry, multidisciplinary",4.610917913
1342,amsterdam,52.3702157,4.8951679,"chemistry, organic",4.912023005
1348,"pasadena ,irvine",34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1348,"pasadena ,irvine",33.6839473,-117.7946942,"chemistry, multidisciplinary",4.091042453
1349,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
1350,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
1354,new orleans,29.9510658,-90.0715323,"chemistry, inorganic & nuclear",5.189654742
1374,cambridge,42.3736158,-71.1097335,polymer science,5.976733742
1389,"villeurbanne ,st johns ,st johns",45.771944,4.8901709,"chemistry, organic",5.060443011
1389,"villeurbanne ,st johns ,st johns",43.0008333,-84.5566667,"chemistry, organic",2.386294361
1389,"villeurbanne ,st johns ,st johns",43.0008333,-84.5566667,"chemistry, organic",2.386294361
1401,tokyo,35.6894875,139.6917064,"chemistry, inorganic & nuclear ,chemistry, organic",5.584967479
1403,braunschweig,52.2688736,10.5267696,"chemistry, multidisciplinary",4.091042453
1410,"santiago de compostela ,santiago de compostela",42.8804471,-8.5463034,"chemistry, organic",4.555348061
1410,"santiago de compostela ,santiago de compostela",42.8804471,-8.5463034,"chemistry, organic",4.555348061
1414,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1415,princeton,40.3572976,-74.6672226,"chemistry, multidisciplinary",3.890371758
1416,leiden,52.1603216,4.4939262,"chemistry, organic",4.465735903
1418,berlin,52.524268,13.40629,"chemistry, multidisciplinary",5.787491743
1422,irvine,33.6839473,-117.7946942,"chemistry, organic",4.091042453
1427,sendai,38.268215,140.8693558,"chemistry, organic",5.682131227
1429,nagasaki,32.7502856,129.877667,"chemistry, multidisciplinary",2.791759469
1447,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1448,pasadena,34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
1452,la jolla,32.8662854,-117.2485721,"chemistry, multidisciplinary",5.465908119
1456,seville,37.38264,-5.9962951,"chemistry, organic",3.833213344
