Id,CO,lat,lon
228,['canada'],56.130366,-106.346771
229,['usa'],37.09024,-95.712891
230,"['germany ,egypt ,jordan']",51.165691,10.451526
230,"['germany ,egypt ,jordan']",26.820553,30.802498
230,"['germany ,egypt ,jordan']",30.585164,36.238414
231,['usa'],37.09024,-95.712891
232,['usa'],37.09024,-95.712891
233,['usa'],37.09024,-95.712891
234,['usa'],37.09024,-95.712891
236,['canada'],56.130366,-106.346771
238,['usa'],37.09024,-95.712891
239,"['france ,germany']",46.227638,2.213749
239,"['france ,germany']",51.165691,10.451526
240,['india'],20.593684,78.96288
243,['usa'],37.09024,-95.712891
244,['england'],52.3555177,-1.1743197
245,['usa'],37.09024,-95.712891
246,['usa'],37.09024,-95.712891
248,['usa'],37.09024,-95.712891
249,['usa'],37.09024,-95.712891
250,['usa'],37.09024,-95.712891
251,['usa'],37.09024,-95.712891
252,['usa'],37.09024,-95.712891
253,['netherlands'],52.132633,5.291266
254,['usa'],37.09024,-95.712891
255,['japan'],36.204824,138.252924
256,['japan'],36.204824,138.252924
257,['india'],20.593684,78.96288
258,['venezuela'],6.42375,-66.58973
259,['usa'],37.09024,-95.712891
260,['usa'],37.09024,-95.712891
261,['usa'],37.09024,-95.712891
262,['usa'],37.09024,-95.712891
263,['england'],52.3555177,-1.1743197
265,['netherlands'],52.132633,5.291266
266,['netherlands'],52.132633,5.291266
267,"['france ,germany']",46.227638,2.213749
267,"['france ,germany']",51.165691,10.451526
268,['usa'],37.09024,-95.712891
269,['scotland'],56.4906712,-4.2026458
270,['germany'],51.165691,10.451526
272,['netherlands'],52.132633,5.291266
274,['usa'],37.09024,-95.712891
276,['usa'],37.09024,-95.712891
277,"['ussr ,germany']",47.4328055,8.4596633
277,"['ussr ,germany']",51.165691,10.451526
278,['ussr'],47.4328055,8.4596633
279,['japan'],36.204824,138.252924
280,"['italy ,usa']",41.87194,12.56738
280,"['italy ,usa']",37.09024,-95.712891
281,['ussr'],47.4328055,8.4596633
282,['ussr'],47.4328055,8.4596633
283,['england'],52.3555177,-1.1743197
285,['netherlands'],52.132633,5.291266
286,['spain'],40.463667,-3.74922
287,"['usa ,poland']",37.09024,-95.712891
287,"['usa ,poland']",51.919438,19.145136
288,['usa'],37.09024,-95.712891
289,['france'],46.227638,2.213749
290,['england'],52.3555177,-1.1743197
292,['japan'],36.204824,138.252924
293,['germany'],51.165691,10.451526
294,['france'],46.227638,2.213749
296,"['france ,germany']",46.227638,2.213749
296,"['france ,germany']",51.165691,10.451526
298,['usa'],37.09024,-95.712891
299,['india'],20.593684,78.96288
300,['usa'],37.09024,-95.712891
301,"['usa ,poland']",37.09024,-95.712891
301,"['usa ,poland']",51.919438,19.145136
302,['usa'],37.09024,-95.712891
303,['france'],46.227638,2.213749
304,['japan'],36.204824,138.252924
305,"['russia ,germany']",61.52401,105.318756
305,"['russia ,germany']",51.165691,10.451526
306,['japan'],36.204824,138.252924
307,['england'],52.3555177,-1.1743197
308,['england'],52.3555177,-1.1743197
310,['switzerland'],46.818188,8.227512
313,['hungary'],47.162494,19.503304
316,"['canada ,usa']",56.130366,-106.346771
316,"['canada ,usa']",37.09024,-95.712891
319,['sweden'],60.128161,18.643501
320,['usa'],37.09024,-95.712891
321,['canada'],56.130366,-106.346771
322,['england'],52.3555177,-1.1743197
323,['usa'],37.09024,-95.712891
324,['netherlands'],52.132633,5.291266
325,['usa'],37.09024,-95.712891
326,['usa'],37.09024,-95.712891
329,"['netherlands ,usa']",52.132633,5.291266
329,"['netherlands ,usa']",37.09024,-95.712891
330,['germany'],51.165691,10.451526
331,['netherlands'],52.132633,5.291266
333,['belgium'],50.503887,4.469936
337,['england'],52.3555177,-1.1743197
338,['ussr'],47.4328055,8.4596633
339,['usa'],37.09024,-95.712891
340,['usa'],37.09024,-95.712891
341,['usa'],37.09024,-95.712891
342,"['canada ,usa']",56.130366,-106.346771
342,"['canada ,usa']",37.09024,-95.712891
343,['usa'],37.09024,-95.712891
344,['usa'],37.09024,-95.712891
345,['usa'],37.09024,-95.712891
347,['usa'],37.09024,-95.712891
350,['germany'],51.165691,10.451526
351,['canada'],56.130366,-106.346771
352,['germany'],51.165691,10.451526
354,['usa'],37.09024,-95.712891
355,['usa'],37.09024,-95.712891
